year,milage,engine_size,price
2023,17246,2.9,81022.11
2000,320000,1.9,29801.53
2020,90643,2.1,71117.44
2013,132260,3.6,66809.83
2019,67860,1.6,70307.22
2017,163584,3.8,70740.61
2011,206351,1.8,51255.2
2008,218121,3.3,55878.22
2016,175341,5.2,76320.65
2003,293909,4.1,45390.49
2015,195736,3.7,63491.12
2002,320000,1.7,36608.97
2017,101551,4.3,79913.94
2016,168931,4.8,71327.41
2002,320000,1.7,35641.71
2020,72209,4.5,88280.57
2011,284706,1.2,47484.15
2021,53093,2.0,75544.96
2001,304718,5.0,49863.17
2004,320000,5.1,54637.99
2013,210297,3.1,55336.02
2005,233823,2.3,47331.97
2008,274225,4.8,58835.86
2017,136099,5.0,76415.08
2003,320000,5.2,45557.71
2018,70398,2.7,70264.82
2002,320000,1.3,34101.57
2004,320000,1.1,35465.54
2015,211064,2.9,60860.81
2021,71267,3.1,76282.83
2004,320000,3.6,47044.56
2008,129543,2.9,52894.5
2024,39091,2.3,82717.97
2026,5108,2.3,89295.1
2015,211378,5.0,72177.8
2012,264302,4.8,70454.44
2009,320000,2.3,46039.02
2016,103183,3.2,66270.93
2015,196131,1.3,56513.39
2007,215189,1.3,46629.97
2000,320000,4.4,42026.81
2004,320000,1.5,38689.36
2025,17830,4.7,94733.38
2011,225381,2.0,52813.42
2013,115578,2.4,63175.93
2012,171488,1.2,49588.86
2021,47107,1.3,78535.38
2001,217860,2.9,46299.76
2002,320000,2.6,38747.95
2007,286311,3.7,47253.99
2013,112301,2.0,65495.88
2018,128891,3.2,73792.31
2013,137723,4.7,78574.11
2011,155718,4.1,72464.09
2025,5253,2.9,85939.37
2004,210810,4.8,56344.6
2015,107817,1.4,59737.77
2014,138082,4.0,71361.67
2012,215837,4.4,65154.78
2021,34574,1.0,73415.28
2007,224745,4.4,58882.58
2025,0,2.0,78994.1
2008,277208,5.2,59593.13
2014,128021,4.7,73896.78
2014,218257,2.2,59896.01
2022,64210,2.6,76372.91
2011,246261,3.0,54640.41
2007,176666,1.9,46705.88
2000,265059,5.1,52638.2
2009,131895,2.2,53045.17
2022,55391,4.8,85285.63
2000,320000,1.1,28893.03
2024,1239,4.2,95659.27
2014,144821,2.4,62905.62
2003,306116,3.8,53072.35
2008,198968,1.9,52987.82
2014,125337,2.8,63910.27
2008,280221,4.9,58160.57
2002,320000,1.4,37068.99
2017,160576,3.1,68243.59
2018,86836,4.7,75214.54
2003,291464,2.2,38611.54
2007,219863,4.3,57160.66
2006,295373,1.2,40917.93
2017,93914,1.5,58839.02
2019,114035,1.1,71545.45
2019,158397,4.2,76098.11
2025,0,4.5,94279.67
2020,68021,4.3,80041.81
2008,248294,4.5,57051.43
2002,320000,4.1,48234.89
2016,176002,1.8,53403.43
2024,6490,4.4,91424.48
2026,6174,1.8,84794.05
2006,320000,1.7,43765.85
2006,281465,5.0,51909.6
2001,320000,3.9,47849.49
2003,262387,4.3,53502.71
2014,131038,5.1,74007.14
2014,104785,4.7,76148.47
2010,274394,1.9,51187.23
2008,215834,5.0,66547.19
2022,32937,3.2,83962.13
2012,139086,2.4,57170.18
2021,87415,5.2,81656.81
2026,0,3.1,86332.42
2008,320000,2.9,43509.48
2005,320000,3.4,50706.9
2025,0,4.9,92033.69
2017,202565,5.0,68024.95
2007,239535,3.0,47859.87
2016,167151,3.9,69804.89
2013,184115,3.8,65091.89
2024,35774,2.3,78109.2
2006,309981,4.2,52756.9
2026,0,3.8,92028.68
2025,0,1.9,78422.06
2004,255429,2.9,39419.66
2004,209728,4.5,57751.51
2014,184965,2.2,58100.52
2001,320000,3.5,42822.96
2008,192309,5.0,63231.22
2011,126864,2.3,59406.89
2026,0,3.8,90291.15
2026,1375,3.5,89963.46
2004,320000,4.2,45967.39
2024,6128,1.9,84524.08
2002,320000,4.1,48966.81
2020,85766,4.9,82981.77
2022,41000,2.1,74791.29
2024,27992,4.3,93233.71
2006,211118,4.2,55480.05
2024,15822,2.4,82335.94
2003,320000,4.0,50728.68
2014,195808,2.0,55957.01
2012,195000,3.5,61088.2
2008,264284,4.9,57840.55
2000,320000,3.4,42395.54
2020,73801,3.0,72767.31
2009,192796,1.0,52151.98
2017,81959,2.2,65135.42
2011,151737,3.7,67007.87
2010,320000,4.5,54001.39
2023,59890,1.9,73793.55
2002,276694,3.1,41004.42
2019,113707,3.8,78519.19
2020,106833,4.1,75089.5
2010,277283,1.0,40456.35
2007,299140,1.9,45187.04
2000,315903,2.9,35119.78
2025,0,4.8,96680.26
2025,15454,3.9,93961.7
2006,320000,2.4,43704.57
2000,320000,5.0,47726.34
2003,320000,4.0,43256.14
2001,283890,2.8,41318.45
2022,22876,2.9,82096.27
2024,26755,4.2,88563.39
2004,320000,5.1,58152.31
2020,72695,2.8,71709.43
2004,320000,1.8,37381.78
2009,320000,3.2,45460.38
2016,104284,1.7,60527.27
2019,79981,2.4,67924.79
2023,2968,2.9,82874.66
2001,283529,4.7,49775.22
2005,320000,2.2,42145.55
2007,312255,3.4,54152.16
2008,180665,1.9,50869.43
2026,19243,1.4,81407.3
2020,59880,4.5,84211.29
2008,248480,1.1,42399.89
2026,0,2.6,87340.01
2013,247167,2.6,54512.7
2013,136334,4.2,68033.1
2011,234640,2.4,60545.05
2003,320000,1.6,37231.32
2025,15519,2.3,80023.84
2000,320000,1.8,31863.95
2004,320000,4.0,49022.57
2006,172505,4.1,55147.32
2007,248764,4.7,57566.87
2003,278551,2.2,42270.21
2000,320000,2.2,40984.0
2018,132885,3.0,68393.55
2026,3274,2.9,90838.86
2003,181212,1.7,47794.51
2008,285179,3.1,48456.29
2013,111428,2.3,53362.12
2025,15959,1.1,77160.66
2018,136764,3.6,72408.6
2020,100251,4.3,79716.23
2015,128813,2.6,63272.65
2011,216863,2.7,54096.21
2005,307019,4.6,51799.2
2023,20050,1.5,79345.29
2021,64426,3.2,75342.01
2000,204367,1.5,38789.34
2019,127610,3.2,67598.79
2002,320000,2.1,35084.22
2019,64993,1.1,65356.69
2022,54374,3.7,83499.87
2003,226130,1.1,40992.63
2011,284696,3.3,54535.13
2003,320000,3.9,45640.02
2015,197295,3.7,65084.21
2025,17040,3.0,86801.45
2002,320000,4.9,47434.35
2010,247544,2.4,54177.02
2026,0,1.3,82031.82
2008,240208,1.2,41753.81
2003,313266,2.8,39342.93
2013,153471,4.2,69509.28
2013,145264,4.2,69913.3
2017,129829,5.1,76592.59
2008,264176,1.8,44313.56
2025,0,4.2,100272.08
2014,115948,2.1,62606.21
2007,314627,2.6,42998.64
2025,21388,4.3,90744.59
2024,22530,2.7,84740.17
2013,246585,1.4,52980.7
2000,320000,4.0,39209.34
2016,125931,2.3,61173.97
2014,128868,1.9,62621.45
2004,251694,1.5,40349.52
2017,118695,3.7,73337.45
2022,81886,1.8,73393.09
2002,320000,1.4,33878.61
2019,80364,1.8,67030.45
2003,249865,3.4,49879.54
2020,89726,4.8,87344.11
2011,223504,2.6,51047.56
2000,320000,3.6,41445.2
2026,0,1.6,81763.18
2004,320000,1.6,34537.12
2016,125185,3.2,70760.72
2004,320000,1.2,36005.86
2025,31458,3.6,88754.29
2019,102239,4.1,83178.18
2021,82756,3.5,81947.78
2011,236249,2.0,49467.07
2012,261936,3.3,55177.21
2017,73880,3.2,74446.64
2021,52271,2.6,76331.48
2022,64109,2.0,72447.56
2000,320000,1.5,32672.16
2017,195144,4.5,75247.32
2002,320000,4.3,50671.32
2007,257340,4.8,58923.81
2022,55312,2.3,76638.72
2006,305658,2.8,46023.31
2021,40063,3.3,83602.5
2012,182220,2.0,54613.24
2006,182308,2.9,44340.75
2009,173474,4.9,63943.5
2014,226582,3.1,56021.19
2020,98933,3.7,75744.93
2016,170289,3.0,60019.19
2025,9698,3.9,98399.96
2023,69760,2.5,74320.25
2020,95195,1.8,69688.88
2016,108859,1.2,62472.1
2007,202029,4.3,52834.48
2011,243916,3.3,59849.39
2003,299688,2.0,36676.01
2010,182178,2.6,56597.88
2025,7715,3.6,95708.21
2011,232116,3.5,60965.25
2003,219414,4.6,56691.38
2017,124975,4.6,78292.97
2025,37648,1.7,81624.8
2023,54495,2.7,74177.43
2007,296747,4.6,55247.15
2012,141451,3.2,58887.29
2014,203746,2.6,61207.92
2006,320000,3.0,42549.29
2007,258367,1.8,47699.08
2006,320000,4.8,52945.1
2026,6953,3.7,94051.36
2020,124451,2.0,66253.02
2022,78581,4.0,84172.62
2022,33398,3.7,88961.84
2025,36994,5.1,97879.71
2002,247982,2.9,42707.84
2023,28502,2.2,85758.01
2001,279130,3.8,43427.63
2012,205827,1.2,52882.34
2016,88148,2.0,68327.91
2009,291445,3.0,47752.01
2003,213328,1.4,39149.53
2005,243726,1.4,41071.35
2022,36648,4.7,87477.71
2008,221501,2.8,58028.81
2008,179906,2.9,55115.93
2024,53622,2.8,80857.8
2003,285495,4.3,51600.77
2024,55079,2.1,80779.14
2024,30865,1.5,81549.18
2016,98776,3.1,66465.17
2004,320000,4.6,50826.04
2004,292022,4.7,52298.88
2007,166467,4.4,55831.78
2015,106228,2.5,66140.51
2004,320000,3.0,38412.27
2012,143016,2.1,58106.25
2003,303563,3.3,42599.38
2014,220368,1.7,53927.25
2000,320000,2.9,33945.96
2019,117440,4.2,74723.73
2001,316712,2.0,32512.71
2005,320000,3.4,39470.61
2004,320000,4.7,51802.55
2022,39998,4.4,86695.47
2001,320000,1.7,37614.49
2011,275748,1.2,43401.08
2015,145248,3.3,70521.44
2013,163342,2.3,57466.84
2018,102549,2.5,64621.98
2021,102728,4.5,80138.95
2010,238380,1.4,47827.73
2022,62720,4.7,83824.12
2008,151092,1.1,47547.79
2026,0,2.5,85708.91
2013,164648,2.8,66385.09
2019,93795,2.0,70650.45
2023,37651,4.4,86697.88
2021,93250,3.7,78519.16
2022,52773,1.7,80146.68
2014,139564,2.7,64486.33
2001,320000,5.1,52687.57
2013,218830,3.8,66125.44
2004,320000,4.3,50137.57
2024,6853,4.9,95552.46
2006,320000,4.1,49002.21
2006,230870,3.6,51534.73
2006,171563,3.9,60475.76
2017,135595,1.7,57216.44
2015,91824,1.8,63821.87
2025,0,1.4,84052.35
2011,134325,1.8,53380.3
2007,277664,3.9,53355.53
2001,259628,2.8,46983.72
2000,320000,4.7,45654.89
2010,204954,3.6,58165.58
2024,28854,3.3,79813.32
2014,173698,3.8,62762.85
2024,56521,4.8,93451.96
2002,320000,3.6,41833.32
2002,259854,2.8,46468.14
2022,78466,4.5,88243.46
2002,320000,4.7,51825.5
2001,320000,4.3,41859.79
2010,224951,3.2,52376.87
2024,4027,2.9,84656.37
2018,120270,2.3,60544.42
2002,202656,2.1,36753.33
2022,81030,4.9,81031.38
2022,54716,3.1,84904.41
2021,32603,2.0,71244.61
2024,4090,2.1,83851.27
2006,150244,3.9,60669.24
2026,20462,3.1,88285.55
2008,247564,2.1,47753.97
2021,87493,2.5,72324.78
2015,117971,2.7,67079.17
2021,43104,1.1,71678.47
2016,175609,4.6,71021.64
2017,96199,5.1,84084.82
2016,190892,2.5,62363.54
2021,47456,4.8,87333.04
2019,130312,2.6,66966.21
2003,320000,1.4,32840.8
2022,29232,2.8,83504.73
2014,151368,4.1,70333.41
2008,220128,4.2,53897.94
2013,118485,3.2,63830.83
2026,0,3.2,89002.17
2023,51447,2.5,80103.01
2022,58351,4.9,90174.36
2012,134583,3.5,68354.41
2021,62082,3.7,80928.93
2010,187782,4.5,59498.8
2018,64269,4.7,82049.4
2017,86942,4.5,75346.15
2006,244542,5.2,59371.97
2007,160209,2.2,49663.82
2001,216868,4.4,51895.89
2003,278082,1.6,34981.97
2011,292599,1.2,38641.36
2012,219572,2.2,56942.98
2004,320000,3.4,41259.81
2011,134145,1.6,57001.18
2016,189351,3.5,68050.74
2006,173476,2.8,55044.61
2009,203604,2.4,55379.19
2009,158169,4.8,66783.23
2013,176089,4.2,71343.11
2009,196174,3.3,53491.9
2019,121629,1.2,71078.48
2008,284529,4.1,55309.55
2011,148663,2.9,59353.71
2010,261890,1.7,49566.3
2004,204827,3.1,54500.52
2018,81394,3.0,70202.86
2006,207247,3.3,49199.02
2008,200557,4.6,66079.76
2021,40453,3.7,83225.42
2025,28400,4.8,93926.93
2018,91203,1.4,63723.22
2024,18734,2.7,84288.71
2023,50028,2.4,79169.68
2012,287437,1.4,46054.63
2020,61409,4.0,83827.49
2008,118183,5.0,70108.89
2012,203798,1.3,50101.97
2014,201638,2.5,59019.99
2025,1567,4.0,94963.56
2022,59612,2.2,70567.0
2013,253747,4.3,64197.06
2017,124980,4.3,74282.29
2005,320000,3.1,43646.61
2021,50441,3.1,78435.7
2014,159934,4.7,72701.53
2014,104587,4.1,74681.72
2020,88539,4.4,81317.19
2017,74673,2.8,68888.32
2001,320000,2.4,36755.02
2007,183738,1.2,44545.44
2004,284053,1.5,35866.31
2019,104712,4.7,80566.88
2000,320000,1.8,39267.49
2005,289511,3.5,47718.15
2016,196378,2.2,63494.28
2018,141810,2.0,62788.77
2013,254673,1.0,48409.25
2023,27982,4.4,93038.13
2024,19167,2.5,84372.7
2003,320000,1.1,39554.22
2025,35837,4.3,87628.21
2016,102402,4.8,80007.4
2017,189767,4.7,79417.5
2002,307585,2.2,30954.59
2016,182459,1.9,59492.68
2019,92207,2.9,75110.71
2015,126408,2.5,64419.05
2002,207155,2.8,45005.12
2014,102025,2.7,65157.56
2025,5793,4.3,94312.2
2019,114786,2.9,66126.1
2003,315973,1.4,31837.47
2025,18964,5.2,93358.32
2025,33279,2.2,83823.19
2004,211520,3.3,52415.61
2021,47123,2.0,79963.48
2010,205152,4.0,65520.04
2016,133823,2.2,63482.89
2012,259315,2.5,56789.71
2021,112948,4.9,85435.72
2026,0,4.5,97443.36
2021,67635,2.5,70935.55
2025,23301,1.5,81274.94
2025,18158,4.3,96629.41
2002,320000,2.8,38561.49
2006,320000,4.6,57960.97
2019,130519,4.4,82067.58
2015,203437,2.3,58613.8
2001,233323,2.6,42336.34
2002,320000,4.9,47360.87
2014,199647,2.9,57005.88
2016,88548,2.6,68730.11
2004,320000,2.1,43634.19
2004,241763,2.4,42577.76
2003,320000,3.4,46672.34
2015,141392,3.4,65698.67
2000,291425,5.0,53241.5
2015,197720,5.1,72139.55
2012,230185,3.1,55353.7
2012,198662,4.8,67790.13
2018,159957,4.4,76899.61
2014,191878,4.9,70442.81
2019,92976,4.0,80317.0
2020,67503,4.9,86051.2
2024,38530,2.1,80327.9
2021,63236,3.5,78672.07
2013,196209,3.5,68384.65
2013,261424,1.4,50210.89
2006,226048,5.1,55907.0
2016,181945,3.2,60912.1
2003,320000,2.1,35969.85
2025,3548,3.2,91205.84
2022,84430,2.7,74226.28
2003,320000,2.9,36802.7
2021,54515,2.8,78607.02
2003,217105,4.5,51329.1
2019,56975,4.2,80745.05
2002,181293,3.4,50160.57
2013,152821,3.1,63199.25
2017,129340,4.2,73342.27
2019,110831,1.7,68683.51
2011,231806,2.0,56368.42
2024,29590,2.7,85509.79
2020,101590,1.1,61961.44
2005,320000,3.5,48606.67
2018,135007,2.0,66035.4
2019,121120,5.1,81440.58
2009,200743,4.5,62783.11
2019,148385,1.6,72796.29
2024,31915,1.4,73623.94
2022,69590,1.2,71052.81
2020,119912,2.3,66578.58
2017,118191,4.9,76219.88
2007,264122,3.0,44603.7
2021,44839,2.6,81744.97
2009,210092,5.1,60047.67
2014,171136,1.5,54698.7
2008,320000,5.0,62372.75
2008,262302,3.0,53657.95
2004,279392,1.1,40412.07
2025,3410,2.5,87317.26
2003,256380,4.8,54178.75
2002,199198,1.1,39851.54
2025,10917,3.1,80807.12
2014,153932,5.0,73664.39
2011,164178,4.8,71080.61
2019,99619,5.1,79055.41
2010,157690,2.1,54348.5
2003,240679,1.6,40935.62
2019,84745,1.6,64043.71
2004,320000,2.3,38247.91
2014,128099,2.2,62401.46
2025,8086,2.7,86906.29
2025,0,1.9,79391.85
2009,287420,2.1,47157.23
2021,47507,1.1,71439.6
2016,173192,4.6,75296.57
2012,230675,3.6,65274.75
2003,261428,1.5,36391.47
2010,298909,3.3,49502.51
2017,96368,1.8,67715.09
2026,0,2.6,85394.59
2000,320000,1.1,28774.81
2019,85012,2.9,74293.16
2022,50742,4.8,87751.1
2025,5660,1.2,72624.82
2011,159718,3.5,62976.18
2003,319732,1.3,30004.05
2007,301859,4.6,58420.35
2022,32472,2.0,81001.44
2023,42513,2.2,80311.5
2017,128867,1.9,63903.32
2003,320000,4.7,47813.6
2003,292606,2.6,45661.97
2012,197902,2.8,58370.36
2015,237567,5.0,71393.51
2000,194051,1.6,38149.21
2018,82567,3.1,74015.25
2014,228646,1.8,53606.47
2000,320000,2.1,31909.36
2002,282690,4.3,46947.72
2012,118069,2.7,64457.46
2019,93968,1.1,62387.26
2022,70645,1.9,75199.06
2011,167639,3.8,66332.42
2007,320000,1.3,39738.99
2026,0,4.6,96058.99
2012,196441,4.0,65206.84
2008,159241,2.3,53725.71
2011,203711,4.9,66957.9
2000,320000,1.3,28692.65
2008,191253,1.4,46331.55
2013,214727,2.5,51960.98
2024,28487,4.7,95043.34
2019,71524,2.3,74452.5
2021,34947,3.1,84072.11
2014,162404,1.0,54315.82
2002,320000,2.8,40557.51
2010,139460,2.1,56671.83
2026,16310,3.3,85558.22
2001,267566,1.7,37775.85
2023,34887,2.0,75291.98
2018,88458,2.7,71649.64
2007,320000,4.6,55304.29
2021,81402,4.0,84981.23
2022,50788,3.3,78766.75
2001,188940,2.8,48309.04
2002,320000,2.9,39450.94
2017,166424,4.4,74061.02
2026,14865,1.7,82518.25
2000,320000,4.7,49993.05
2017,144472,1.4,58741.45
2003,320000,1.5,34556.89
2017,103806,4.4,72133.51
2016,163602,3.2,63644.86
2002,272197,1.7,39304.4
2018,111195,4.4,76868.44
2024,27562,3.6,87846.25
2023,56901,3.9,85287.27
2000,232782,2.4,35853.29
2006,267776,2.2,46048.95
2006,205989,5.0,60772.52
2012,194693,5.1,76741.28
2003,168958,2.1,45068.94
2023,46988,4.0,85173.22
2020,93793,4.1,77123.73
2021,56597,1.3,68633.96
2005,320000,3.8,46540.65
2000,320000,5.1,47411.04
2024,43752,4.0,91939.82
2007,320000,4.8,52460.17
2017,184066,4.4,76793.8
2024,26225,4.2,93092.15
2000,320000,4.0,43625.14
2000,320000,5.2,48446.33
2000,320000,4.2,46052.05
2004,252332,1.4,37497.17
2001,227612,5.0,58265.62
2022,68591,1.9,73443.15
2016,93492,3.4,66389.79
2026,0,4.0,91954.33
2021,57316,2.3,75026.33
2026,0,3.1,86547.69
2006,205431,4.8,64544.95
2007,245694,1.4,44879.46
2022,69111,1.0,65183.2
2006,320000,3.9,52933.95
2001,320000,4.5,44194.19
2018,123578,3.0,75867.06
2021,76712,3.7,80800.51
2026,0,2.6,89499.82
2025,20466,5.0,94147.3
2003,312045,4.7,50001.67
2020,112662,3.4,73780.13
2022,35223,3.6,92430.22
2018,108372,3.7,75656.58
2022,48837,4.1,89726.08
2022,32701,3.0,75920.53
2012,228464,4.4,68965.69
2001,320000,4.4,47096.42
2012,268729,2.3,52584.54
2005,320000,1.7,39897.55
2003,320000,2.5,41403.14
2003,320000,2.3,34406.76
2018,124365,3.6,72480.66
2013,216900,3.0,60589.91
2014,127639,1.9,55722.78
2020,129019,1.6,66791.64
2014,178232,1.5,56940.84
2017,105565,1.4,61804.66
2002,304629,2.5,39828.52
2022,83014,1.3,66980.08
2012,216996,3.1,60148.84
2004,217661,3.4,51260.93
2021,84548,3.8,83512.1
2019,110951,1.5,71525.35
2001,320000,3.7,50980.07
2005,213366,4.2,57442.9
2000,320000,2.1,40648.74
2007,315893,3.5,48535.12
2002,259255,4.4,49116.14
2019,75172,3.7,82002.36
2014,166964,1.6,52900.15
2026,4088,2.7,88881.94
2020,108168,3.1,72415.01
2016,182285,3.0,66674.19
2013,209548,3.4,54201.09
2001,319567,4.6,51230.64
2001,220789,5.0,56662.43
2016,155407,4.2,69003.87
2000,320000,2.0,35144.29
2001,320000,3.4,38005.61
2005,320000,3.7,51904.84
2023,34596,4.8,89093.07
2012,162672,3.0,60798.71
2019,106327,2.7,72560.97
2011,177954,3.7,66257.0
2004,209753,2.8,45011.33
2010,238073,2.6,48086.38
2002,229775,2.6,47758.27
2020,71778,1.8,76627.46
2004,320000,4.3,50429.81
2010,232394,2.0,53593.76
2026,3800,2.1,80048.22
2015,210630,1.6,56994.78
2012,147702,2.0,52105.43
2014,117111,2.0,64093.69
2021,104231,5.0,85220.74
2006,320000,5.0,57037.6
2017,86933,3.0,71404.54
2023,49084,2.7,83608.46
2015,151980,2.3,57817.47
2012,264790,2.4,55907.01
2003,320000,2.3,43332.75
2006,320000,3.8,49549.27
2025,12405,5.1,95369.4
2014,144235,4.1,67894.97
2008,144820,2.0,53017.75
2011,218011,3.8,61144.69
2015,171643,3.1,67248.35
2014,136396,3.6,72263.66
2018,90453,2.2,67936.14
2006,260820,1.6,41742.71
